state,year,leg_cont,govparty_c
Alabama,2016,0,0
Alaska,2016,0,0.5
Arizona,2016,0,0
Arkansas,2016,0,0
California,2016,1,1
Colorado,2016,0.5,1
Connecticut,2016,1,1
Delaware,2016,1,1
Florida,2016,0,0
Georgia,2016,0,0
Hawaii,2016,1,1
Idaho,2016,0,0
Illinois,2016,1,0
Indiana,2016,0,0
Iowa,2016,0.5,0
Kansas,2016,0,0
Kentucky,2016,0.5,0
Louisiana,2016,0,1
Maine,2016,0.5,0
Maryland,2016,1,0
Massachusetts,2016,1,0
Michigan,2016,0,0
Minnesota,2016,0.5,1
Mississippi,2016,0,0
Missouri,2016,0,1
Montana,2016,0,1
Nebraska,2016,.,0
Nevada,2016,0,0
New Hampshire,2016,0,1
New Jersey,2016,1,0
New Mexico,2016,0.5,0
New York,2016,0.5,1
North Carolina,2016,0,0
North Dakota,2016,0,0
Ohio,2016,0,0
Oklahoma,2016,0,0
Oregon,2016,1,1
Pennsylvania,2016,0,1
Rhode Island,2016,1,1
South Carolina,2016,0,0
South Dakota,2016,0,0
Tennessee,2016,0,0
Texas,2016,0,0
Utah,2016,0,0
Vermont,2016,1,1
Virginia,2016,0,1
Washington,2016,0.5,1
West Virginia,2016,0,1
Wisconsin,2016,0,0
Wyoming,2016,0,0
Alabama,2017,0,0
Alaska,2017,0,0.5
Arizona,2017,0,0
Arkansas,2017,0,0
California,2017,1,1
Colorado,2017,0.5,1
Connecticut,2017,0.5,1
Delaware,2017,1,1
Florida,2017,0,0
Georgia,2017,0,0
Hawaii,2017,1,1
Idaho,2017,0,0
Illinois,2017,1,0
Indiana,2017,0,0
Iowa,2017,0,0
Kansas,2017,0,0
Kentucky,2017,0,0
Louisiana,2017,0,1
Maine,2017,0.5,0
Maryland,2017,1,0
Massachusetts,2017,1,0
Michigan,2017,0,0
Minnesota,2017,0,1
Mississippi,2017,0,0
Missouri,2017,0,0
Montana,2017,0,1
Nebraska,2017,.,0
Nevada,2017,1,0
New Hampshire,2017,0,0
New Jersey,2017,1,0
New Mexico,2017,1,0
New York,2017,1,1
North Carolina,2017,0,1
North Dakota,2017,0,0
Ohio,2017,0,0
Oklahoma,2017,0,0
Oregon,2017,1,1
Pennsylvania,2017,0,1
Rhode Island,2017,1,1
South Carolina,2017,0,0
South Dakota,2017,0,0
Tennessee,2017,0,0
Texas,2017,0,0
Utah,2017,0,0
Vermont,2017,1,0
Virginia,2017,0,1
Washington,2017,1,1
West Virginia,2017,0,1
Wisconsin,2017,0,0
Wyoming,2017,0,0
Alabama,2018,0,0
